year,state_abbr,state_name,population,violent_crime,property_crime,Violent_Crime_rate,Property_Crime_rate
1983,UT,Utah,1619000,4144,78715,255.9604694,4861.951822
1983,VA,Virginia,5550000,16236,203632,292.5405405,3669.045045
1983,VT,Vermont,525000,696,21001,132.5714286,4000.190476
1983,WA,Washington,4300000,15986,245357,371.7674419,5705.976744
1983,WI,Wisconsin,4751000,9070,193118,190.9071774,4064.786361
1983,WV,West Virginia,1965000,3375,44158,171.7557252,2247.226463
1983,WY,Wyoming,514000,1219,19412,237.1595331,3776.653696
1984,US,United States,235824902,1273282,10608473,539.9268649,4498.453263
1984,AK,Alaska,500000,3108,27468,621.6,5493.6
1984,AL,Alabama,3990000,17204,138487,431.1779449,3470.85213
1984,AR,Arkansas,2349000,7549,71554,321.3707961,3046.147297
1984,AZ,Arizona,3053000,15756,182670,516.0825418,5983.29512
1984,CA,California,25622000,195589,1461731,763.3635157,5704.983998
1984,CO,Colorado,3178000,14548,191104,457.7721838,6013.341724
1984,CT,Connecticut,3154000,12422,133573,393.8490805,4235.034876
1984,DC,District of Columbia,623000,10725,42799,1721.508828,6869.823435
1984,DE,Delaware,613000,2671,28021,435.725938,4571.125612
1984,FL,Florida,10976000,95270,653429,867.9846939,5953.252551
1984,GA,Georgia,5837000,27935,234621,478.5848895,4019.547713
1984,HI,Hawaii,1039000,2409,54573,231.8575553,5252.454283
1984,IA,Iowa,2910000,5781,104785,198.6597938,3600.859107
1984,ID,Idaho,1001000,2355,34398,235.2647353,3436.363636
1984,IL,Illinois,11511000,83441,527124,724.880549,4579.30675
1984,IN,Indiana,5498000,16781,199258,305.22008,3624.190615
1984,KS,Kansas,2438000,8147,97646,334.1673503,4005.168171
1984,KY,Kentucky,3723000,10342,99803,277.7867311,2680.714478
1984,LA,Louisiana,4462000,30251,197778,677.9695204,4432.496638
1984,MA,Massachusetts,5798000,30362,235675,523.6633322,4064.763712
1984,MD,Maryland,4349000,34455,192325,792.2510922,4422.280984
1984,ME,Maine,1156000,1832,38944,158.4775087,3368.858131
1984,MI,Michigan,9075000,68979,525979,760.0991736,5795.911846
1984,MN,Minnesota,4162000,8802,151082,211.484863,3630.033638
1984,MO,Missouri,5008000,23071,192123,460.6829073,3836.321885
1984,MS,Mississippi,2598000,7326,72169,281.9861432,2777.86759
1984,MT,Montana,824000,1958,36380,237.6213592,4415.048544
1984,NC,North Carolina,6165000,24885,224437,403.649635,3640.502839
1984,ND,North Dakota,686000,368,17354,53.64431487,2529.737609
1984,NE,Nebraska,1606000,3627,52526,225.8405978,3270.610212
1984,NH,New Hampshire,977000,1308,29347,133.8792221,3003.787103
1984,NJ,New Jersey,7515000,39659,325231,527.7312043,4327.757818
1984,NM,New Mexico,1424000,9798,79108,688.0617978,5555.337079
1984,NV,Nevada,911000,5726,54045,628.5400659,5932.491767
1984,NY,New York,17735000,162157,826969,914.3332394,4662.920778
1984,OH,Ohio,10752000,41430,418011,385.3236607,3887.751116
1984,OK,Oklahoma,3298000,13438,147917,407.4590661,4485.051546
1984,OR,Oregon,2674000,13533,153423,506.0957367,5737.584144
1984,PA,Pennsylvania,11901000,38154,325960,320.594908,2738.929502
1984,RI,Rhode Island,962000,3220,42706,334.7193347,4439.293139
1984,SC,South Carolina,3300000,20607,133270,624.4545455,4038.484848
1984,SD,South Dakota,706000,1041,17403,147.4504249,2465.014164
1984,TN,Tennessee,4717000,21010,162462,445.4102184,3444.180623
1984,TX,Texas,15989000,80737,883391,504.9534055,5524.992182
1984,UT,Utah,1652000,4035,74703,244.2493947,4521.973366
1984,VA,Virginia,5636000,16660,196581,295.5997161,3487.952449
1984,VT,Vermont,530000,769,20261,145.0943396,3822.830189
1984,WA,Washington,4349000,17676,247687,406.4382617,5695.263279
1984,WI,Wisconsin,4766000,9367,189484,196.5379773,3975.744859
1984,WV,West Virginia,1952000,3283,42313,168.1864754,2167.67418
1984,WY,Wyoming,511000,1237,17582,242.074364,3440.704501
1985,US,United States,237923795,1327767,11102590,558.0639801,4666.447927
1985,AK,Alaska,521000,3031,27588,581.7658349,5295.201536
1985,AL,Alabama,4021000,18398,140115,457.5478737,3484.58095
1985,AR,Arkansas,2359000,8199,76372,347.5625265,3237.473506
1985,AZ,Arizona,3187000,19202,207591,602.5101977,6513.680577
1985,CA,California,26365000,201763,1516710,765.2683482,5752.740375
1985,CO,Colorado,3231000,15219,208336,471.0306407,6448.034664
1985,CT,Connecticut,3174000,12758,136572,401.9533711,4302.835539
1985,DC,District of Columbia,626000,10171,39904,1624.760383,6374.440895
1985,DE,Delaware,622000,2695,28164,433.2797428,4527.974277
1985,FL,Florida,11366000,106971,753918,941.149041,6633.098715
1985,GA,Georgia,5976000,30311,275070,507.2121821,4602.911647
1985,HI,Hawaii,1054000,2313,52501,219.4497154,4981.119545
1985,IA,Iowa,2884000,6106,107607,211.7198336,3731.171983
1985,ID,Idaho,1005000,2360,36916,234.8258706,3673.233831
1985,IL,Illinois,11535000,82448,530205,714.7637625,4596.488947
1985,IN,Indiana,5499000,17014,198220,309.4017094,3604.655392
1985,KS,Kansas,2450000,8716,98474,355.755102,4019.346939
1985,KY,Kentucky,3726000,11384,98428,305.5287171,2641.653247
1985,LA,Louisiana,4481000,31108,218195,694.2200402,4869.337202
1985,MA,Massachusetts,5822000,31334,245665,538.1999313,4219.598076
1985,MD,Maryland,4392000,36655,199318,834.5856102,4538.205829
1985,ME,Maine,1164000,1950,40789,167.5257732,3504.209622
1985,MI,Michigan,9088000,66714,511852,734.0889085,5632.174296
1985,MN,Minnesota,4193000,10751,162597,256.4035297,3877.820176
1985,MO,Missouri,5029000,25321,194247,503.4997017,3862.537284
1985,MS,Mississippi,2613000,7079,78254,270.9146575,2994.795254
1985,MT,Montana,826000,1722,35855,208.4745763,4340.799031
1985,NC,North Carolina,6255000,26327,231465,420.8952838,3700.479616
1985,ND,North Dakota,685000,322,18032,47.00729927,2632.408759
1985,NE,Nebraska,1606000,3821,55514,237.9202989,3456.662516
1985,NH,New Hampshire,998000,1405,31049,140.7815631,3111.122244
1985,NJ,New Jersey,7562000,41172,344067,544.4591378,4549.947104
1985,NM,New Mexico,1450000,10207,83843,703.9310345,5782.275862
1985,NV,Nevada,936000,6244,55294,667.0940171,5907.478632
1985,NY,New York,17783000,165365,828446,929.9049654,4658.640274
1985,OH,Ohio,10744000,41000,408882,381.6083395,3805.677587
1985,OK,Oklahoma,3301000,13930,165150,421.9933354,5003.029385
1985,OR,Oregon,2687000,14807,166023,551.0606624,6178.749535
1985,PA,Pennsylvania,11853000,39240,320788,331.055429,2706.386569
1985,RI,Rhode Island,968000,3355,42368,346.5909091,4376.859504
1985,SC,South Carolina,3347000,21121,140892,631.0427248,4209.501046
1985,SD,South Dakota,708000,967,17730,136.5819209,2504.237288
1985,TN,Tennessee,4762000,22592,175827,474.4225115,3692.293154
1985,TX,Texas,16370000,90030,985265,549.9694563,6018.723274
1985,UT,Utah,1645000,4398,83072,267.3556231,5049.969605
1985,VA,Virginia,5706000,16813,198821,294.6547494,3484.419909
1985,VT,Vermont,535000,790,20011,147.6635514,3740.373832
1985,WA,Washington,4409000,18757,269099,425.4252665,6103.402132
1985,WI,Wisconsin,4775000,9880,181918,206.9109948,3809.801047
1985,WV,West Virginia,1936000,3214,40401,166.0123967,2086.828512
1985,WY,Wyoming,509000,1307,19130,256.7779961,3758.349705
1986,US,United States,240132887,1489169,11722700,620.1437123,4881.755326
1986,AK,Alaska,534000,3046,30307,570.411985,5675.468165
1986,AL,Alabama,4053000,22616,151191,558.006415,3730.34789
1986,AR,Arkansas,2372000,9365,83729,394.8145025,3529.890388
1986,AZ,Arizona,3317000,21835,221015,658.2755502,6663.099186
1986,CA,California,26981000,248370,1576299,920.536674,5842.255661
1986,CO,Colorado,3267000,17105,212626,523.5690236,6508.295072
1986,CT,Connecticut,3189000,13578,140411,425.7761054,4402.97899
1986,DC,District of Columbia,626000,9423,42781,1505.271565,6834.025559
1986,DE,Delaware,633000,2703,27881,427.014218,4404.581359
1986,FL,Florida,11675000,121013,839651,1036.513919,7191.87152
1986,GA,Georgia,6104000,35869,297130,587.6310616,4867.791612
1986,HI,Hawaii,1062000,2604,57626,245.1977401,5426.177024
1986,IA,Iowa,2851000,6703,111633,235.1104875,3915.573483
1986,ID,Idaho,1003000,2232,39964,222.5324028,3984.44666
1986,IL,Illinois,11533000,93454,548311,810.3182173,4754.279025
1986,IN,Indiana,5504000,16937,195233,307.721657,3547.111192
1986,KS,Kansas,2461000,9076,109607,368.7931735,4453.758635
1986,KY,Kentucky,3728000,12467,102810,334.4152361,2757.77897
1986,LA,Louisiana,4501000,34128,239444,758.2315041,5319.795601
1986,MA,Massachusetts,5832000,32476,242989,556.8587106,4166.478052
1986,MD,Maryland,4463000,37177,212831,833.0047054,4768.787811
1986,ME,Maine,1174000,1726,38909,147.0187394,3314.224872
1986,MI,Michigan,9145000,73517,520127,803.9037726,5687.556042
1986,MN,Minnesota,4214000,11991,171832,284.551495,4077.645942
1986,MO,Missouri,5066000,29310,206463,578.5629688,4075.463877
1986,MS,Mississippi,2625000,7196,80612,274.1333333,3070.933333
